Corrida,Objetivo1,Objetivo2
corrida_1,100488.32938100003,104119.72861399999
corrida_1,97953.386515,114243.10250499999
corrida_1,112400.51543500005,87430.484861
corrida_1,98467.93897100003,109999.997136
corrida_1,92677.868243,130046.95859699999
corrida_1,95370.42702700001,116361.68087999999
corrida_1,96802.989189,115530.979365
corrida_1,99276.28898200003,105187.916921
corrida_1,94870.56208800002,121937.98943199999
corrida_1,106586.30656700005,87861.276165
corrida_1,112821.08421400003,87396.05824900001
corrida_1,93962.116056,124623.73650800002
corrida_1,100918.64438700005,94117.13478499997
corrida_1,101662.06387200004,93978.73508499998
corrida_1,102150.49162100005,92071.42455099997
corrida_1,103061.58398500005,91932.06432799998
corrida_1,115551.46892100004,86495.82346500001
corrida_1,107790.85396200002,87714.077371
corrida_1,103061.58398500005,91932.06432799998
corrida_1,103061.58398500005,91932.06432799998
corrida_1,104739.92357200004,88340.872497
corrida_1,103092.12747100004,90145.508299
corrida_1,106457.87778100005,87919.213099
corrida_1,102150.49162100005,92071.42455099997
corrida_1,106586.30656700005,87861.276165
corrida_1,102150.49162100005,92071.42455099997
corrida_1,103061.58398500005,91932.06432799998
corrida_1,102150.49162100005,92071.42455099997
corrida_1,102150.49162100005,92071.42455099997
corrida_1,103061.58398500005,91932.06432799998
corrida_1,102150.49162100005,92071.42455099997
corrida_1,101894.44667100004,93246.20487499998
corrida_1,102150.49162100005,92071.42455099997
corrida_1,104549.08624300004,89584.278807
corrida_1,103061.58398500005,91932.06432799998
corrida_1,99135.39157300003,108756.002875
corrida_1,103092.12747100004,90145.508299
corrida_2,101657.55802799997,84561.445555
corrida_2,101014.12151799999,84650.05444699997
corrida_2,100603.73531599995,84759.604938
corrida_2,99165.90635799993,85107.05031199999
corrida_2,95243.32855899996,88732.44450699996
corrida_2,98959.82677999996,85349.88425799998
corrida_2,103098.38853599997,83349.67916
corrida_2,97548.29540599998,86466.79514699998
corrida_2,105122.08439499998,82774.769494
corrida_2,98603.11648599996,85601.18344699997
corrida_2,105122.08439499998,82774.769494
corrida_2,99761.01593199997,84794.76990099998
corrida_2,99761.01593199997,84794.76990099998
corrida_2,98603.11648599996,85601.18344699997
corrida_2,96224.20465799993,86830.25534199997
corrida_2,96224.20465799993,86830.25534199997
corrida_2,96224.20465799993,86830.25534199997
corrida_2,98057.09506699994,86102.49633299997
corrida_2,98057.09506699994,86102.49633299997
corrida_2,98057.09506699994,86102.49633299997
corrida_2,98057.09506699994,86102.49633299997
corrida_2,98057.09506699994,86102.49633299997
corrida_2,98057.09506699994,86102.49633299997
corrida_2,98057.09506699994,86102.49633299997
corrida_2,98057.09506699994,86102.49633299997
corrida_2,98057.09506699994,86102.49633299997
corrida_2,98057.09506699994,86102.49633299997
corrida_2,98057.09506699994,86102.49633299997
corrida_2,98057.09506699994,86102.49633299997
corrida_2,98057.09506699994,86102.49633299997
corrida_2,98057.09506699994,86102.49633299997
corrida_2,98057.09506699994,86102.49633299997
corrida_2,98057.09506699994,86102.49633299997
corrida_2,98057.09506699994,86102.49633299997
corrida_2,98057.09506699994,86102.49633299997
corrida_2,98057.09506699994,86102.49633299997
corrida_2,98057.09506699994,86102.49633299997
